REF_DATE,GEO,DGUID,Homicides,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,691,,,,0
2020,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,765,,,,0
2021,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,801,,,,0
2022,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,882,,,,0
2023,Canada,2016A000011124,Total number of homicide victims,Number,223,units,0,v91676060,1.1,778,,,,0
2019,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2020,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2021,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2022,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2023,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873202,1.6,,..,,,0
2019,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,688,,,,0
2020,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,764,,,,0
2021,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,800,,,,0
2022,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,876,,,,0
2023,Canada,2016A000011124,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676061,1.4,776,,,,0
2019,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,162,,,,0
2020,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,151,,,,0
2021,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,184,,,,0
2022,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,204,,,,0
2023,Canada,2016A000011124,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872502,1.5,173,,,,0
2019,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23.55,,,,2
2020,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,19.76,,,,2
2021,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23,,,,2
2022,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,23.29,,,,2
2023,Canada,2016A000011124,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676062,1.2,22.29,,,,2
2019,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.43,,,,2
2020,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.4,,,,2
2021,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.48,,,,2
2022,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.52,,,,2
2023,Canada,2016A000011124,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676063,1.3,0.43,,,,2
2019,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,30,,,,0
2020,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,56,,,,0
2021,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,43,,,,0
2022,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,37,,,,0
2023,Atlantic Region,2016A00011,Total number of homicide victims,Number,223,units,0,v91676064,2.1,32,,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873203,2.6,,..,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,30,,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,56,,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,43,,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,37,,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676065,2.4,32,,,,0
2019,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,4,,,,0
2020,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,1,,,,0
2021,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,7,,,,0
2022,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,3,,,,0
2023,Atlantic Region,2016A00011,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872503,2.5,1,,,,0
2019,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,13.33,,,,2
2020,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,1.79,,,,2
2021,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,16.28,,,,2
2022,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,8.11,,,,2
2023,Atlantic Region,2016A00011,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676066,2.2,3.13,,,,2
2019,Atlantic Region,2016A00011,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676067,2.3,0.16,,,,2
2020,Atlantic Region,2016A00011,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676067,2.3,0.04,,,,2
2021,Atlantic Region,2016A00011,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676067,2.3,0.28,,,,2
2022,Atlantic Region,2016A00011,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676067,2.3,0.12,,,,2
2023,Atlantic Region,2016A00011,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676067,2.3,0.04,,,,2
2019,Quebec,2016A000224,Total number of homicide victims,Number,223,units,0,v91676068,3.1,78,,,,0
2020,Quebec,2016A000224,Total number of homicide victims,Number,223,units,0,v91676068,3.1,87,,,,0
2021,Quebec,2016A000224,Total number of homicide victims,Number,223,units,0,v91676068,3.1,90,,,,0
2022,Quebec,2016A000224,Total number of homicide victims,Number,223,units,0,v91676068,3.1,111,,,,0
2023,Quebec,2016A000224,Total number of homicide victims,Number,223,units,0,v91676068,3.1,101,,,,0
2019,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873204,3.6,,..,,,0
2020,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873204,3.6,,..,,,0
2021,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873204,3.6,,..,,,0
2022,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873204,3.6,,..,,,0
2023,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873204,3.6,,..,,,0
2019,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676069,3.4,78,,,,0
2020,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676069,3.4,87,,,,0
2021,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676069,3.4,90,,,,0
2022,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676069,3.4,110,,,,0
2023,Quebec,2016A000224,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676069,3.4,101,,,,0
2019,Quebec,2016A000224,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872504,3.5,21,,,,0
2020,Quebec,2016A000224,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872504,3.5,15,,,,0
2021,Quebec,2016A000224,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872504,3.5,21,,,,0
2022,Quebec,2016A000224,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872504,3.5,22,,,,0
2023,Quebec,2016A000224,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872504,3.5,20,,,,0
2019,Quebec,2016A000224,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676070,3.2,26.92,,,,2
2020,Quebec,2016A000224,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676070,3.2,17.24,,,,2
2021,Quebec,2016A000224,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676070,3.2,23.33,,,,2
2022,Quebec,2016A000224,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676070,3.2,20,,,,2
2023,Quebec,2016A000224,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676070,3.2,19.8,,,,2
2019,Quebec,2016A000224,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676071,3.3,0.25,,,,2
2020,Quebec,2016A000224,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676071,3.3,0.18,,,,2
2021,Quebec,2016A000224,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676071,3.3,0.24,,,,2
2022,Quebec,2016A000224,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676071,3.3,0.25,,,,2
2023,Quebec,2016A000224,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676071,3.3,0.23,,,,2
2019,Ontario,2016A000235,Total number of homicide victims,Number,223,units,0,v91676072,4.1,253,,,,0
2020,Ontario,2016A000235,Total number of homicide victims,Number,223,units,0,v91676072,4.1,244,,,,0
2021,Ontario,2016A000235,Total number of homicide victims,Number,223,units,0,v91676072,4.1,284,,,,0
2022,Ontario,2016A000235,Total number of homicide victims,Number,223,units,0,v91676072,4.1,292,,,,0
2023,Ontario,2016A000235,Total number of homicide victims,Number,223,units,0,v91676072,4.1,262,,,,0
2019,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873205,4.6,,..,,,0
2020,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873205,4.6,,..,,,0
2021,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873205,4.6,,..,,,0
2022,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873205,4.6,,..,,,0
2023,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873205,4.6,,..,,,0
2019,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676073,4.4,251,,,,0
2020,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676073,4.4,244,,,,0
2021,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676073,4.4,284,,,,0
2022,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676073,4.4,288,,,,0
2023,Ontario,2016A000235,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676073,4.4,261,,,,0
2019,Ontario,2016A000235,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872505,4.5,60,,,,0
2020,Ontario,2016A000235,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872505,4.5,52,,,,0
2021,Ontario,2016A000235,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872505,4.5,65,,,,0
2022,Ontario,2016A000235,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872505,4.5,59,,,,0
2023,Ontario,2016A000235,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872505,4.5,49,,,,0
2019,Ontario,2016A000235,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676074,4.2,23.9,,,,2
2020,Ontario,2016A000235,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676074,4.2,21.31,,,,2
2021,Ontario,2016A000235,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676074,4.2,22.89,,,,2
2022,Ontario,2016A000235,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676074,4.2,20.49,,,,2
2023,Ontario,2016A000235,Victims of homicides linked to organized crime or a street gang as a percentage of homicides for which the link between the homicide and organized crime or a street gang was known,Percent,239,units,0,v91676074,4.2,18.77,,,,2
2019,Ontario,2016A000235,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676075,4.3,0.41,,,,2
2020,Ontario,2016A000235,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676075,4.3,0.35,,,,2
2021,Ontario,2016A000235,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676075,4.3,0.44,,,,2
2022,Ontario,2016A000235,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676075,4.3,0.39,,,,2
2023,Ontario,2016A000235,"Rate of homicides (number of victims per 100,000 population) where the homicide was linked or suspected to be linked to organized crime or a street gang",Rate,257,units,0,v91676075,4.3,0.31,,,,2
2019,Manitoba,2016A000246,Total number of homicide victims,Number,223,units,0,v91676076,5.1,74,,,,0
2020,Manitoba,2016A000246,Total number of homicide victims,Number,223,units,0,v91676076,5.1,62,,,,0
2021,Manitoba,2016A000246,Total number of homicide victims,Number,223,units,0,v91676076,5.1,62,,,,0
2022,Manitoba,2016A000246,Total number of homicide victims,Number,223,units,0,v91676076,5.1,89,,,,0
2023,Manitoba,2016A000246,Total number of homicide victims,Number,223,units,0,v91676076,5.1,74,,,,0
2019,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873206,5.6,,..,,,0
2020,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873206,5.6,,..,,,0
2021,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873206,5.6,,..,,,0
2022,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873206,5.6,,..,,,0
2023,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was reported as unknown,Number,223,units,0,v91873206,5.6,,..,,,0
2019,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676077,5.4,74,,,,0
2020,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676077,5.4,62,,,,0
2021,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676077,5.4,61,,,,0
2022,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676077,5.4,89,,,,0
2023,Manitoba,2016A000246,Number of homicide victims for which the status of the link between the homicide and organized crime or a street gang was known,Number,223,units,0,v91676077,5.4,73,,,,0
2019,Manitoba,2016A000246,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872506,5.5,11,,,,0
2020,Manitoba,2016A000246,Number of homicide victims where the homicide was linked or suspected to be linked to organized crime or a street gang,Number,223,units,0,v91872506,5.5,5,,,,0
